"stdDay","defCnt"
2020-09-12,"3871"
2020-09-11,"3839"
2020-09-10,"3792"
2020-09-09,"3742"
2020-09-08,"3687"
2020-09-07,"3656"
2020-09-06,"3625"
2020-09-05,"3578"
2020-09-04,"3527"
2020-09-03,"3471"
2020-09-02,"3407"
2020-09-01,"3323"
2020-08-31,"3260"
2020-08-30,"3181"
2020-08-29,"3101"
2020-08-28,"2997"
2020-08-27,"2884"
2020-08-26,"2782"
2020-08-25,"2684"
2020-08-24,"2612"
2020-08-23,"2527"
2020-08-22,"2402"
2020-08-21,"2307"
2020-08-20,"2204"
2020-08-19,"2119"
2020-08-18,"2020"
2020-08-17,"1968"
2020-08-16,"1898"
2020-08-15,"1800"
2020-08-14,"1728"
2020-08-13,"1681"
2020-08-12,"1664"
2020-08-11,"1645"
2020-08-10,"1632"
2020-08-09,"1626"
2020-08-08,"1611"
2020-08-07,"1593"
2020-08-06,"1588"
2020-08-05,"1575"
2020-08-04,"1568"
2020-08-03,"1557"
2020-08-02,"1556"
2020-08-01,"1553"
2020-07-31,"1546"
2020-07-30,"1536"
2020-07-29,"1531"
2020-07-28,"1520"
2020-07-27,"1514"
2020-07-26,"1508"
2020-07-25,"1501"
2020-07-24,"1487"
2020-07-23,"1479"
2020-07-22,"1451"
2020-07-21,"1436"
2020-07-20,"1434"
2020-07-19,"1433"
2020-07-18,"1429"
2020-07-17,"1419"
2020-07-16,"1404"
2020-07-15,"1383"
2020-07-14,"1378"
2020-07-13,"1369"
2020-07-12,"1358"
2020-07-11,"1341"
2020-07-10,"1337"
2020-07-09,"1323"
2020-07-08,"1315"
2020-07-07,"1297"
2020-07-06,"1284"
2020-07-05,"1278"
2020-07-04,"1270"
2020-07-03,"1251"
2020-07-02,"1233"
2020-07-01,"1223"
2020-06-30,"1207"
2020-06-29,"1200"
2020-06-28,"1184"
2020-06-27,"1167"
2020-06-26,"1150"
2020-06-25,"1146"
2020-06-24,"1137"
2020-06-23,"1130"
2020-06-22,"1123"
2020-06-21,"1117"
2020-06-20,"1107"
2020-06-19,"1090"
2020-06-18,"1079"
2020-06-17,"1063"
2020-06-16,"1050"
2020-06-15,"1045"
2020-06-14,"1035"
2020-06-13,"1025"
2020-06-12,"1011"
2020-06-11,"992"
2020-06-10,"976"
2020-06-09,"955"
2020-06-08,"942"
2020-06-07,"934"
2020-06-05,"915"
2020-06-05,"907"
2020-06-04,"894"
2020-06-03,"879"
2020-06-02,"867"
2020-06-01,"852"
2020-05-31,"840"
2020-05-30,"828"
2020-05-29,"815"
2020-05-28,"795"
2020-05-27,"774"
2020-05-26,"768"
2020-05-25,"766"
2020-05-24,"760"
2020-05-23,"754"
2020-05-22,"741"
2020-05-21,"735"
2020-05-20,"735"
2020-05-19,"725"
2020-05-18,"724"
2020-05-17,"721"
2020-05-16,"721"
2020-05-15,"717"
2020-05-14,"714"
2020-05-13,"708"
2020-05-12,"706"
2020-05-11,"698"
2020-05-10,"694"
2020-05-09,"688"
2020-05-08,"684"
2020-05-07,"682"
2020-05-06,"681"
2020-05-05,"681"
2020-05-04,"681"
2020-05-03,"680"
2020-05-02,"678"
2020-05-01,"678"
2020-04-30,"676"
2020-04-29,"676"
2020-04-28,"674"
2020-04-27,"671"
2020-04-26,"668"
2020-04-25,"662"
2020-04-24,"660"
2020-04-23,"659"
2020-04-22,"658"
2020-04-21,"658"
2020-04-20,"656"
2020-04-19,"654"
2020-04-18,"654"
2020-04-17,"650"
2020-04-16,"649"
2020-04-15,"645"
2020-04-14,"639"
2020-04-13,"631"
2020-04-12,"628"
2020-04-11,"624"
2020-04-10,"615"
2020-04-08,"606"
2020-04-08,"596"
2020-04-07,"590"
2020-04-06,"580"
2020-04-05,"572"
2020-04-04,"562"
2020-04-03,"539"
2020-04-02,"516"
2020-04-01,"499"
2020-03-31,"476"
2020-03-30,"463"
2020-03-29,"448"
2020-03-28,"433"
2020-03-27,"412"
2020-03-26,"401"
2020-03-25,"387"
2020-03-24,"366"
2020-03-23,"351"
2020-03-22,"337"
2020-03-21,"321"
2020-03-20,"309"
2020-03-19,"295"
2020-03-18,"277"
2020-03-17,"262"
2020-03-16,"231"
2020-03-15,"211"
2020-03-14,"200"
2020-03-13,"185"
2020-03-12,"178"
2020-03-11,"175"
2020-03-10,"163"
2020-03-09,"152"
2020-03-08,"141"
2020-03-07,"130"
2020-03-06,"120"
2020-03-05,"110"
2020-03-04,"101"
